#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance	coverage	average_genome_length_in_the_clade	estimated_number_of_reads_from_the_clade
k__Bacteria	91.78604	0.026992190965	3060646	82614
k__Viruses	8.21396	0.0024155376913	54508	132
k__Bacteria|p__Proteobacteria	63.34994	0.0186297774086	3135748	58418
k__Bacteria|p__Bacteroidetes	10.88419	0.00320079338084	4234739	13555
k__Bacteria|p__Actinobacteria	10.83806	0.00318722761431	3230214	10295
k__Viruses|p__Viruses_noname	8.21396	0.0024155376913	54508	132
k__Bacteria|p__Firmicutes	4.4322	0.00130340930419	2645593	3448
k__Bacteria|p__Fusobacteria	1.11099	0.000326717307849	2684168	877
k__Bacteria|p__Acidobacteria	0.65143	0.000191570881226	5918510	1134
k__Bacteria|p__Deinococcus_Thermus	0.51923	0.000152695067949	2916300	445
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	38.37222	0.0112843991246	3686133	41596
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	24.01972	0.00706365413218	3060202	21616
k__Bacteria|p__Actinobacteria|c__Actinobacteria	10.83806	0.00318722761431	3230214	10295
k__Viruses|p__Viruses_noname|c__Viruses_noname	8.21396	0.0024155376913	54508	132
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	5.33018	0.00156748563777	2839483	4451
k__Bacteria|p__Firmicutes|c__Clostridia	4.4322	0.00130340930419	2874996	3747
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	3.82897	0.00112601206367	3794378	4273
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	1.72504	0.000507295679411	6164480	3127
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	1.11099	0.000326717307849	2684168	877
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.95799	0.000281724151809	3693177	1040
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0.65143	0.000191570881226	4854087	930
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci	0.51923	0.000152695067949	2916300	445
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	18.35529	0.00539787510061	4126474	22274
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	12.03349	0.00353877640999	4002833	14165
