#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance	coverage	average_genome_length_in_the_clade	estimated_number_of_reads_from_the_clade
k__Bacteria	73.48381	0.0133882665262	3060646	40977
k__Viruses	26.51619	0.0048310753826	54508	263
k__Bacteria|p__Actinobacteria	38.26939	0.00697243178412	3230214	22522
k__Viruses|p__Viruses_noname	26.51619	0.0048310753826	54508	263
k__Bacteria|p__Firmicutes	21.58985	0.00393352798593	2645593	10407
k__Bacteria|p__Bacteroidetes	12.09565	0.00220374827831	4234739	9332
k__Bacteria|p__Proteobacteria	0.71223	0.000129763389546	3135748	407
k__Bacteria|p__Thermodesulfobacteria	0.71175	0.000129676457239	2011566	261
k__Bacteria|p__Tenericutes	0.10494	1.9118631106e-05	972074	19
k__Bacteria|p__Actinobacteria|c__Actinobacteria	38.26939	0.00697243178412	3230214	22522
k__Viruses|p__Viruses_noname|c__Viruses_noname	26.51619	0.0048310753826	54508	263
k__Bacteria|p__Firmicutes|c__Clostridia	20.45979	0.00372763957745	2874996	10717
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	6.62434	0.001206910623	3794378	4579
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	4.48308	0.000816787241193	2839483	2319
k__Bacteria|p__Firmicutes|c__Negativicutes	1.13005	0.000205888408483	2623729	540
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	0.98824	0.000180050414116	6164480	1110
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria	0.71175	0.000129676457239	2011566	261
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.37127	6.76422177628e-05	3686133	249
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.34096	6.21211717828e-05	2003141	124
k__Bacteria|p__Tenericutes|c__Mollicutes	0.10494	1.9118631106e-05	972074	19
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	38.26939	0.00697243178412	4860922	33892
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	26.51619	0.0048310753826	55826	270
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	20.45979	0.00372763957745	3127383	11658
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	6.62434	0.001206910623	3794378	4579
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	4.48308	0.000816787241193	2479048	2025
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1.13005	0.000205888408483	2623729	540
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	0.98824	0.000180050414116	6164480	1110
