#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance	coverage	average_genome_length_in_the_clade	estimated_number_of_reads_from_the_clade
k__Bacteria	76.70682	0.0151801385979	3060646	46461
k__Viruses	23.29318	0.00460967677215	54508	251
k__Bacteria|p__Proteobacteria	48.68088	0.0096338562005	3135748	30209
k__Viruses|p__Viruses_noname	23.29318	0.00460967677215	54508	251
k__Bacteria|p__Actinobacteria	13.86147	0.00274315891952	3230214	8861
k__Bacteria|p__Bacteroidetes	10.18574	0.00201573867773	4234739	8536
k__Bacteria|p__Deinococcus_Thermus	2.31475	0.000458085203848	2916300	1336
k__Bacteria|p__Fusobacteria	0.83261	0.000164771791069	2684168	442
k__Bacteria|p__Acidobacteria	0.83138	0.000164527805199	5918510	974
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	34.01902	0.00673230149118	3686133	24816
k__Viruses|p__Viruses_noname|c__Viruses_noname	23.29318	0.00460967677215	54508	251
k__Bacteria|p__Actinobacteria|c__Actinobacteria	13.86147	0.00274315891952	3230214	8861
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	13.53651	0.00267885115595	3060202	8198
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	5.74681	0.00113728353988	3794378	4315
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	4.43893	0.000878455137851	2839483	2494
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci	2.31475	0.000458085203848	2916300	1336
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1.12534	0.000222703553377	3693177	822
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.83261	0.000164771791069	2684168	442
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0.83138	0.000164527805199	4854087	799
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	23.29318	0.00460967677215	55826	257
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	13.86147	0.00274315891952	4860922	13334
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	12.43994	0.00246184145741	4502396	11084
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	10.2694	0.00203229587717	4126474	8386
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	7.05741	0.00139664804469	4531004	6328
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	5.74681	0.00113728353988	3794378	4315
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	5.21011	0.0010310720839	4002833	4127
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	4.43893	0.000878455137851	2479048	2178
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales	4.35318	0.000861485447049	3180646	2740
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	3.10387	0.000614250614251	4088909	2512
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales	2.31475	0.000458085203848	3351957	1535
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1.59354	0.000315357931252	3614313	1140
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	1.33786	0.000264760391845	4079009	1080
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	1.12534	0.000222703553377	4758592	1060
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0.86935	0.000172043010753	3161861	544
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.83261	0.000164771791069	2684168	442
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0.83138	0.000164527805199	4854087	799
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.79041	0.000156421085562	2343514	367
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	0.53046	0.000104976703247	4219055	443
