#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance	coverage	average_genome_length_in_the_clade	estimated_number_of_reads_from_the_clade
k__Bacteria	100.0	0.624124780379	3060646	1910225
k__Bacteria|p__Proteobacteria	84.00727	0.524310186657	3135748	1644105
k__Bacteria|p__Firmicutes	12.52518	0.0781727746807	2645593	206813
k__Bacteria|p__Fusobacteria	3.44281	0.021487420074	2684168	57676
k__Bacteria|p__Bacteroidetes	0.02474	0.000154398966931	4234739	654
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	83.96444	0.524042878451	3686133	1931692
k__Bacteria|p__Firmicutes|c__Clostridia	12.52518	0.0781727746807	2874996	224746
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	3.44281	0.021487420074	2684168	57676
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.04283	0.000267308206362	3693177	987
k__Bacteria|p__Bacteroidetes|c__Cytophagia	0.02474	0.000154398966931	5622527	868
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	82.06559	0.512191689883	5285047	2706957
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	12.52518	0.0781727746807	3127383	244476
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	3.44281	0.021487420074	2684168	57676
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	1.62311	0.0101302460203	2343514	23740
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.27574	0.00172094254699	4079009	7020
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	0.04283	0.000267308206362	4231002	1131
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	0.02474	0.000154398966931	5622527	868
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae	82.06559	0.512191689883	4734381	2424911
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	7.98791	0.049854517231	3351243	167075
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	4.53727	0.0283182574498	2405476	68119
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	2.86416	0.0178759200841	2811026	50250
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	1.62311	0.0101302460203	2343514	23740
