#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance	coverage	average_genome_length_in_the_clade	estimated_number_of_reads_from_the_clade
k__Bacteria	100.0	1.1883503661	3060646	3637120
k__Bacteria|p__Proteobacteria	98.47888	1.17027418731	3135748	3669685
k__Bacteria|p__Firmicutes	1.52112	0.0180761787849	2645593	47822
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	98.47888	1.17027418731	3686133	4313786
k__Bacteria|p__Firmicutes|c__Bacilli	1.52112	0.0180761787849	2708875	48966
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	98.43457	1.16974761151	4079009	4771411
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1.45652	0.0173085996672	2010119	34792
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.06459	0.000767579117699	3407631	2616
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	0.03144	0.000373577027953	4219055	1576
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	0.01287	0.00015299877601	5285047	809
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	98.43457	1.16974761151	4079009	4771411
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	1.45652	0.0173085996672	2166719	37503
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0.06459	0.000767579117699	2461214	1889
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	0.03144	0.000373577027953	3828556	1430
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae	0.01287	0.00015299877601	4734381	724
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	95.72455	1.13754302356	4803810	5464541
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea	2.48545	0.0295358649789	4840045	142955
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	1.45652	0.0173085996672	3189236	55201
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Yersinia	0.21384	0.00254115567341	4568771	11610
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	0.06459	0.000767579117699	2627125	2017
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas	0.03005	0.000357092515153	4801539	1715
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium	0.01287	0.00015299877601	8520541	1304
