#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance	coverage	average_genome_length_in_the_clade	estimated_number_of_reads_from_the_clade
k__Viruses	71.2722	0.00444585582725	54508	242
k__Bacteria	27.90893	0.0017409185884	3060646	5328
k__Eukaryota	0.81887	5.10796970974e-05	30631893	1565
k__Viruses|p__Viruses_noname	71.2722	0.00444585582725	54508	242
k__Bacteria|p__Bacteroidetes	12.12191	0.000756147067306	4234739	3202
k__Bacteria|p__Actinobacteria	8.73157	0.000544662309368	3230214	1759
k__Bacteria|p__Proteobacteria	7.05546	0.000440109211726	3135748	1380
k__Eukaryota|p__Apicomplexa	0.81887	5.10796970974e-05	18849572	963
k__Viruses|p__Viruses_noname|c__Viruses_noname	71.2722	0.00444585582725	54508	242
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	12.12191	0.000756147067306	3794378	2869
k__Bacteria|p__Actinobacteria|c__Actinobacteria	8.73157	0.000544662309368	3230214	1759
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	6.68801	0.000417188151856	3693177	1541
k__Eukaryota|p__Apicomplexa|c__Coccidia	0.81887	5.10796970974e-05	23308189	1191
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.36745	2.29210598698e-05	3686133	84
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	71.2722	0.00444585582725	55826	248
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	12.12191	0.000756147067306	3794378	2869
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	8.73157	0.000544662309368	4860922	2648
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	6.68801	0.000417188151856	4231002	1765
k__Eukaryota|p__Apicomplexa|c__Coccidia|o__Eucoccidiorida	0.81887	5.10796970974e-05	23308189	1191
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	0.36745	2.29210598698e-05	4219055	97
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae	71.2722	0.00444585582725	9050	40
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	12.12191	0.000756147067306	4013113	3035
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	8.73157	0.000544662309368	3386340	1844
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bartonellaceae	6.68801	0.000417188151856	1904258	794
k__Eukaryota|p__Apicomplexa|c__Coccidia|o__Eucoccidiorida|f__Eimeriidae	0.81887	5.10796970974e-05	1347714	69
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	0.36745	2.29210598698e-05	3828556	88
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Gammaretrovirus	71.2722	0.00444585582725	7174	32
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	11.67481	0.000728257732188	2208663	1608
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bartonellaceae|g__Bartonella	6.68801	0.000417188151856	1904258	794
