#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance	coverage	average_genome_length_in_the_clade	estimated_number_of_reads_from_the_clade
k__Bacteria	99.9694	1.03746940911	3060646	3175327
k__Viruses	0.0306	0.000317561130518	54508	17
k__Bacteria|p__Proteobacteria	99.87158	1.03645425899	3135748	3250059
k__Bacteria|p__Firmicutes	0.09002	0.000934165336537	2645593	2471
k__Viruses|p__Viruses_noname	0.0306	0.000317561130518	54508	17
k__Bacteria|p__Fusobacteria	0.0078	8.09847748623e-05	2684168	217
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	99.86394	1.03637500713	3686133	3820216
k__Bacteria|p__Firmicutes|c__Clostridia	0.08333	0.000864794959422	2874996	2486
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.0306	0.000317561130518	54508	17
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.0078	8.09847748623e-05	2684168	217
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.00764	7.92518624188e-05	3060202	243
k__Bacteria|p__Firmicutes|c__Bacilli	0.00668	6.93703771147e-05	2708875	188
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	99.82748	1.03599659895	4079009	4225839
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.08333	0.000864794959422	3127383	2705
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0.0306	0.000317561130518	55826	18
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.02172	0.00022540940446	4126474	930
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	0.01474	0.00015299877601	5285047	809
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.0078	8.09847748623e-05	2684168	217
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0.00764	7.92518624188e-05	3161861	251
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.00668	6.93703771147e-05	2010119	139
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	99.82748	1.03599659895	4079009	4225839
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.04449	0.000461731678487	3351243	1547
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.03884	0.000403063280935	2405476	970
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae	0.0306	0.000317561130518	9050	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae	0.02172	0.00022540940446	2818198	635
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae	0.01474	0.00015299877601	4734381	724
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	0.0078	8.09847748623e-05	2811026	228
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	0.00764	7.92518624188e-05	3161861	251
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.00668	6.93703771147e-05	2166719	150
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	97.71103	1.01403230077	4803810	4871219
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea	1.95157	0.020253164557	4840045	98026
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Yersinia	0.16488	0.00171113362603	4568771	7818
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	0.04449	0.000461731678487	4612938	2130
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname	0.03884	0.000403063280935	3261648	1315
